dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.022102,0.00087,0.347333,0.961645
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.003312,0.000775,0.35,-0.441614
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.007886,0.003797,0.372,-0.287964
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.007324,0.000987,0.350667,-0.627981
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.005284,0.000237,0.344,-0.708152
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.010385,0.006201,0.391333,-0.245323
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.003061,0.000189,0.345333,-0.638832
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.010465,0.003409,0.368667,-0.349699
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.019445,0.005119,0.383333,-0.228182
IMDB-MULTI,Graph2Vec,,,64,1500,3,kmeans,0.012558,0.011207,0.402,0.506062
IMDB-MULTI,Graph2Vec,,,64,1500,3,spectral,0.008642,0.007928,0.38,0.194398
IMDB-MULTI,Graph2Vec,,,128,1500,3,kmeans,0.011344,0.010087,0.399333,0.552205
IMDB-MULTI,Graph2Vec,,,128,1500,3,spectral,0.012816,0.003365,0.362,-0.264209
IMDB-MULTI,Graph2Vec,,,256,1500,3,kmeans,0.011358,0.010072,0.4,0.584246
IMDB-MULTI,Graph2Vec,,,256,1500,3,spectral,0.009705,0.005799,0.376667,0.201125
IMDB-MULTI,NetLSD,,,64,1500,3,kmeans,0.021031,0.015675,0.41,0.545977
IMDB-MULTI,NetLSD,,,64,1500,3,spectral,0.004564,0.000265,0.35,-0.460153
IMDB-MULTI,NetLSD,,,128,1500,3,kmeans,0.021031,0.015675,0.41,0.545977
IMDB-MULTI,NetLSD,,,128,1500,3,spectral,0.003305,0.00028,0.342667,-0.378804
IMDB-MULTI,NetLSD,,,256,1500,3,kmeans,0.021031,0.015675,0.41,0.545977
IMDB-MULTI,NetLSD,,,256,1500,3,spectral,0.015822,0.001232,0.353333,-0.0635
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.237439,0.225155,0.739362,0.404961
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.259421,0.19366,0.723404,0.480086
MUTAG,GIN,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.205965,0.105041,0.670213,0.509963
MUTAG,GIN,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.287617,0.117893,0.680851,0.550176
MUTAG,GIN,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.198789,0.139646,0.691489,0.429468
MUTAG,GIN,gin_dim64_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.243573,0.235607,0.744681,0.444536
MUTAG,GIN,gin_dim64_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.282458,0.10957,0.675532,0.423833
MUTAG,GIN,gin_dim64_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.239481,0.094858,0.664894,0.488336
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.114037,-0.002428,0.574468,0.39673
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.186766,-0.019781,0.56383,0.416698
